name,moa,target,disease_area,indication,phase
halobetasol-propionate,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",dermatology,corticosteroid-responsive dermatoses,Launched
halofantrine,antimalarial agent,"KCNH2, KCNN4",infectious disease,malaria,Launched
halofuginone,collagenase inhibitor,"COL1A1, MMP2",rheumatology,scleroderma,Launched
harringtonine,protein synthesis inhibitor,,,,Phase 3
hesperadin,Aurora kinase inhibitor,AURKB,,,Preclinical
hexachlorophene,potassium channel activator,"GLUD1, SDHD",infectious disease,gram-positive bacterial infections,Launched
hexaminolevulinate,,,radiology,diagnostic agent,Launched
hexylresorcinol,local anesthetic,TYR,infectious disease,"skin infections, first-aid antiseptic",Launched
homoharringtonine,protein synthesis inhibitor,RPL3,hematologic malignancy,chronic myeloid leukemia (CML),Launched
homoquinolinic-acid,glutamate receptor agonist,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D",,,Preclinical
homosalate,HSP inducer,,,,Preclinical
hydrocortisone,glucocorticoid receptor agonist,,"dermatology, neurology/psychiatry","eczema, psoriasis, seborrheic dermatitis, itching",Launched
"hydroxytacrine-maleate-(r,s)",cholinesterase inhibitor,ACHE,,,Preclinical
hydroxyurea,ribonucleotide reductase inhibitor,"RRM1, RRM2, RRM2B","hematologic malignancy, oncology","chronic myeloid leukemia (CML), head and neck squamous cell carcinoma (HNSCC)",Launched
hyodeoxycholic-acid,atherosclerosis formation inhibitor,,,,Phase 1
hyoscyamine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4","gastroenterology, urology, neurology/psychiatry, allergy","peptic ulcer disease (PUD), acute abdominal visceral spasm, ulcerative colitis, interstitial cystitis (IC), enterocolitis, irritable bowel syndrome, tremors, allergic rhinitis",Launched
hypericin,tyrosine kinase inhibitor,,,,Phase 2
hypoestoxide,IKK inhibitor,"IKBKB, IL1B, TNF",,,Phase 1
ibrutinib,Bruton's tyrosine kinase (BTK) inhibitor,"BLK, BMX, BTK",hematologic malignancy,"chronic lymphocytic leukemia (CLL), mantle cell lymphoma (MCL), Waldenstrom's macroglobulinemia (WM)",Launched
ibutilide,potassium channel blocker,"CACNA1C, CACNA2D1, CACNB1, CACNG1, KCNH2, KCNH6, KCNH7, KCNJ11, KCNK1, KCNK6",cardiology,atrial fibrillation (AF),Launched
icotinib,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),Launched
idarubicin,topoisomerase inhibitor,TOP2A,hematologic malignancy,acute myeloid leukemia (AML),Launched
idasanutlin,MDM inhibitor,"MDM2, TP53",,,Phase 3
idazoxan,adrenergic receptor antagonist,ADRA2A,,,Phase 3
idelalisib,PI3K inhibitor,"PIK3CA, PIK3CB, PIK3CD, PIK3CG",hematologic malignancy,chronic lymphocytic leukemia (CLL),Launched
idoxuridine,DNA directed DNA polymerase inhibitor,,infectious disease,virus herpes simplex (HSV),Launched
idronoxil,XIAP inhibitor,"ENOX2, SPHK1",,,Phase 3
ifosfamide,DNA alkylating agent,"CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP3A4, CYP3A5, CYP3A7, PTGS1","oncology, urology","testicular carcinoma, hemorrhagic cystitis",Launched
ilomastat,matrix metalloprotease inhibitor,"ACAN, ADAM28, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP8, MMP9",,,Phase 3
imatinib,"Bcr-Abl kinase inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor","ABL1, CSF1R, DDR1, KIT, NTRK1, PDGFRA, PDGFRB, RET","hematologic malignancy, oncology","chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL), myelodysplastic diseases (MDS), aggressive systemic mastocytosis (ASM), hypereosinophilic syndrome (HES), chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans (DFSP), gastrointestinal stromal tumors (GIST)",Launched
imidapril,angiotensin converting enzyme inhibitor,ACE,cardiology,"hypertension, congestive heart failure",Launched
imiloxan,adrenergic receptor antagonist,"ADRA2A, ADRA2B",,,Phase 1
imiquimod,"interferon inducer, toll-like receptor agonist","TLR7, TLR8","dermatology, infectious disease, oncology","actinic keratosis (AK), genital warts, basal cell carcinoma (BCC)",Launched
indibulin,tubulin polymerization inhibitor,,,,Phase 1/Phase 2
indiplon,benzodiazepine receptor agonist,GABRA1,,,Phase 3
indirubin,"CDK inhibitor, glycogen synthase kinase inhibitor","CDK1, CDK5, GSK3A",,,Phase 2/Phase 3
indisulam,CDK inhibitor,"CA1, CA12, CA14, CA2, CA6, CA7, CA9",,,Phase 2
indoprofen,"cyclooxygenase inhibitor, prostanoid receptor antagonist","CXCR1, CXCR2, PTGS1, PTGS2",,,Withdrawn
ingenol-mebutate,PKC activator,"PRKCA, PRKCB, PRKCD, PRKCE, PRKCG",dermatology,actinic keratosis (AK),Launched
inosine,neurotrophic agent,"PARP1, PNP",,,Launched
iobenguane,antineoplastic agent,,"oncology, cardiology, endocrinology","neuroblastoma, congestive heart failure, pheochromocytoma",Launched
iodipamide,radiopaque medium,ALB,radiology,contrast agent,Launched
iododexetimide,acetylcholine receptor antagonist,,,,Phase 2
iproniazid,monoamine oxidase inhibitor,"MAOA, MAOB",,,Withdrawn
ipsapirone,serotonin receptor agonist,HTR1A,,,Phase 3
irinotecan,topoisomerase inhibitor,"TOP1, TOP1MT",oncology,colorectal cancer,Launched
isoetharine,adrenergic receptor agonist,"ADRB1, ADRB2",pulmonary,"bronchospasm, asthma",Launched
isofloxythepin,dopamine receptor antagonist,,,,Phase 2
isoflupredone-acetate,,NR3C1,,,Preclinical
isometheptene-mucate,,"ADRA1A, SLC18A2",neurology/psychiatry,headache,Launched
isopropyl-myristate,,,dermatology,cosmetic,Launched
isoxsuprine,adrenergic receptor agonist,ADRB2,"rheumatology, cardiology","Raynaud's disease, arteriosclerosis, Buerger's disease",Launched
ispinesib,kinesin inhibitor,KIF11,,,Phase 2
istradefylline,adenosine receptor antagonist,"ADORA1, ADORA2A, ADORA2B, ADORA3",neurology/psychiatry,"Parkinson's Disease, dyskinesia",Launched
itraconazole,cytochrome P450 inhibitor,CYP51A1,infectious disease,"onychomycosis, histoplasmosis, blastomycosis, aspergillosis",Launched
ivermectin,benzodiazepine receptor agonist,"CHRNA7, GABRB3, GLRA3, P2RX7",infectious disease,"gastrointestinal roundworms, lungworms, cattle grubs, mites, lice, horn flies",Launched
ixabepilone,microtubule stabilizing agent,"TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8",oncology,breast cancer,Launched
ixazomib,proteasome inhibitor,,hematologic malignancy,multiple myeloma,Launched
ixazomib-citrate,proteasome inhibitor,,hematologic malignancy,multiple myeloma,Launched
josamycin,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bronchitis,Launched
k-strophanthidin,ATPase inhibitor,ATP1A1,,,Phase 2
kenpaullone,"CDK inhibitor, glycogen synthase kinase inhibitor","CCNB1, CDK1, CDK5, GSK3B",,,Preclinical
ketoconazole,sterol demethylase inhibitor,"AR, CYP19A1, CYP21A2, KCNA10",dermatology,seborrheic dermatitis,Launched
ketoprofen,cyclooxygenase inhibitor,"CXCR1, PTGS1, PTGS2, SLC5A8",rheumatology,"rheumatoid arthritis, osteoarthritis",Launched
kifunensine,mannosidase inhibitor,"MAN1B1, MAN2A1",,,Phase 1
ku-0063794,mTOR inhibitor,MTOR,,,Preclinical
kynurenic-acid,glutamate receptor antagonist,"GPR35, GRIN1, GRIN2A, GRIN2B",,,Preclinical
lacitol,osmosis stimulant,,gastroenterology,constipation,Launched
lafutidine,histamine receptor antagonist,HRH2,gastroenterology,"duodenal ulcer disease, peptic ulcer disease (PUD)",Launched
lanatoside-c,cardiac glycoside,,,,Preclinical
lanoconazole,sterol demethylase inhibitor,,infectious disease,fungal infection,Launched
lapatinib,EGFR inhibitor,"EGFR, ERBB2",oncology,breast cancer,Launched
lappaconite,sodium channel blocker,,,,Phase 2
lasalocid,bacterial permeability inducer,,infectious disease,coccidiosis,Launched
latanoprost,prostanoid receptor agonist,PTGFR,ophthalmology,"ocular hypertension, glaucoma",Launched
latrepirdine,glutamate receptor antagonist,"HRH1, HTR6",,,Phase 3
lenalidomide,anticancer agent,"CDH5, CRBN, PTGS2, TNF, TNFSF11",hematologic malignancy,"multiple myeloma, mantle cell lymphoma (MCL), myelodysplastic diseases (MDS)",Launched
lenvatinib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","FLT4, KDR",oncology,thyroid cancer,Launched
lerisetron,serotonin receptor antagonist,HTR3A,,,Phase 3
lestaurtinib,"FLT3 inhibitor, growth factor receptor inhibitor, JAK inhibitor","FLT3, NTRK1",,,Phase 3
letrozole,aromatase inhibitor,CYP19A1,oncology,breast cancer,Launched
leucovorin,folate receptor ligand,TYMS,oncology,osteosarcoma,Launched
levobunolol,adrenergic receptor antagonist,"ADRB1, ADRB2, ADRB3",ophthalmology,"glaucoma, ocular hypertension",Launched
levocarnitine,,,endocrinology,carnitine deficiency,Launched
levocetirizine,histamine receptor antagonist,HRH1,allergy,"allergic rhinitis, urticaria",Launched
levonorgestrel,"estrogen receptor agonist, glucocorticoid receptor antagonist, progesterone receptor agonist, progesterone receptor antagonist","AR, ESR1, PGR, SRD5A1",endocrinology,contraceptive,Launched
licochalcone-a,topoisomerase inhibitor,PTPN1,,,Phase 3
lidamidine,adrenergic receptor agonist,,gastroenterology,diarrhea,Launched
lidocaine,histamine receptor agonist,"EGFR, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","neurology/psychiatry, dermatology, hematology","itching, eczema, hemorrhage",Launched
linalool,anticonvulsant,,,,Phase 1
linifanib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","CSF1, CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RET, TEK",,,Phase 3
linsitinib,IGF-1 inhibitor,"IGF1R, INSR, INSRR",,,Phase 3
litronesib,kinesin-like spindle protein inhibitor,KIF11,,,Phase 2
lomefloxacin,bacterial DNA gyrase inhibitor,TOP2A,infectious disease,"respiratory tract infections, urinary tract infections",Launched
lomitapide,microsomal trigylceride transfer protein inhibitor,MTTP,endocrinology,hypercholesterolemia,Launched
lonafarnib,farnesyltransferase inhibitor,"FNTA, HRAS, KRAS, NRAS",,,Phase 3
lorazepam,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO",neurology/psychiatry,status epilepticus,Launched
lorlatinib,ALK tyrosine kinase receptor inhibitor,ALK,,,Phase 2
lovastatin,HMGCR inhibitor,"HDAC2, HMGCR, ITGAL, NR1I2","cardiology, endocrinology","coronary heart disease, myocardial infarction, hypercholesterolemia",Launched
loxistatin-acid,cysteine peptidase inhibitor,CTSB,,,Preclinical
lucitanib,"FGFR inhibitor, VEGFR inhibitor","FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET",,,Phase 2
lurasidone,"dopamine receptor antagonist, serotonin receptor antagonist","ADRA2A, ADRA2C, DRD2, HTR1A, HTR2A, HTR7",neurology/psychiatry,schizophrenia,Launched
maprotiline,"norepinephrine reputake inhibitor, tricyclic antidepressant","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR2A, HTR2C, HTR7, SLC6A2",neurology/psychiatry,"depression, dysthymic disorder",Launched
marimastat,matrix metalloprotease inhibitor,"MMP1, MMP10, MMP11, MMP12, MMP13, MMP14, MMP15, MMP16, MMP17, MMP19, MMP2, MMP20, MMP21, MMP23A, MMP24, MMP25, MMP26, MMP27, MMP28, MMP3, MMP7, MMP8, MMP9",,,Phase 3
masitinib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor","FGFR3, KIT, PDGFRA, PDGFRB",dermatology,mastocytoma,Launched
maxacalcitol,vitamin D receptor agonist,VDR,endocrinology,hyperparathyroidism,Launched
maytansinol-isobutyrate,,,,,Preclinical
mebendazole,tubulin polymerization inhibitor,"TUBA1A, TUBB, TUBB4B",infectious disease,"pinworm, whipworm, hookworm, ascariasis",Launched
mechlorethamine,DNA inhibitor,,"hematologic malignancy, hematology, infectious disease, oncology","Hodgkin's lymphoma, chronic myeloid leukemia (CML), chronic lymphocytic leukemia (CLL), polycythemia vera, mycosis, bronchogenic carcinoma",Launched
meclizine,constitutive androstane receptor (CAR) agonist,"HRH1, NR1I3","gastroenterology, neurology/psychiatry","nausea, vomiting, motion sickness",Launched
mefexamide,psychoactive drug,,,,Preclinical
meglitinide,potassium channel blocker,CCR2,,,Phase 2
melengestrol-acetate,progesterone receptor agonist,,,,Preclinical
meloxicam,cyclooxygenase inhibitor,"PTGS1, PTGS2",rheumatology,"osteoarthritis, rheumatoid arthritis",Launched
melphalan,"DNA alkylating agent, DNA inhibitor",,hematologic malignancy,multiple myeloma,Launched
menadione,"mitochondrial DNA polymerase inhibitor, phosphatase inhibitor","AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PROC, PROS1, PROZ, VKORC1, VKORC1L1","gastroenterology, neurology/psychiatry, dermatology, rheumatology","ulcerative colitis, diarrhea, headache, varicose veins, rheumatoid arthritis",Launched
mephenytoin,hydantoin antiepileptic,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",neurology/psychiatry,seizures,Launched
mepivacaine,"potassium channel blocker, sodium channel blocker",SCN10A,neurology/psychiatry,local anesthetic,Launched
mercaptopurine,"immunosuppressant, protein synthesis inhibitor, purine antagonist","HPRT1, IMPDH1, IMPDH2, PPAT",hematologic malignancy,acute lymphoblastic leukemia (ALL),Launched
mericitabine,HCV inhibitor,,,,Phase 2
merimepodib,inosine monophosphate dehydrogenase inhibitor,IMPDH1,,,Phase 2
mesna,antioxidant,,urology,hemorrhagic cystitis,Launched
mesoridazine,dopamine receptor antagonist,"DRD2, HTR2A",neurology/psychiatry,schizophrenia,Launched
metaraminol,adrenergic receptor agonist,ADRA1A,cardiology,hypotension,Launched
metatinib,Bcr-Abl kinase inhibitor,"ABL1, BCR",,,Phase 1
methacycline,protein synthesis inhibitor,,pulmonary,bronchitis,Launched
methiazole,anthelmintic agent,,,,Preclinical
methocarbamol,muscle relaxant,CA1,neurology/psychiatry,muscle relaxant,Launched
methotrexate,dihydrofolate reductase inhibitor,DHFR,"oncology, hematologic malignancy, dermatology, rheumatology","gestational choriocarcinoma, hydatidiform mole, acute lymphoblastic leukemia (ALL), psoriasis, rheumatoid arthritis",Launched
methoxyflurane,membrane permeability inhibitor,"ATP2C1, ATP5D, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, GRIA1, KCNA1, MT-ND1",neurology/psychiatry,general anaesthetic,Launched
methscopolamine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3",gastroenterology,peptic ulcer disease (PUD),Launched
methyldopa,adrenergic receptor agonist,"ADRA2A, ADRA2B, ADRA2C, DDC",cardiology,hypertension,Launched
methylphenidate,dopamine-norepinephrine reuptake inhibitor,"SLC6A2, SLC6A3, SLC6A4",neurology/psychiatry,"attention-deficit/hyperactivity disorder (ADHD), narcolepsy",Launched
methylprednisolone,glucocorticoid receptor agonist,NR3C1,"endocrinology, rheumatology, dermatology, infectious disease, allergy, hematology, neurology/psychiatry, gastroenterology","hypercalcemia, thyroiditis, ankylosing spondylitis, bursitis, osteoarthritis, psoriatic arthritis, seborrheic dermatitis, mycosis, allergic rhinitis, psoriasis, anemia, multiple sclerosis, ulcerative colitis, enteritis",Launched
metoprolol,adrenergic receptor antagonist,"ADRB1, ADRB2",cardiology,"hypertension, angina pectoris, myocardial infarction",Launched
metoxibutropate,cyclooxygenase inhibitor,"PTGS1, PTGS2",,,Launched
metronidazole,DNA inhibitor,"CYP2C9, CYP3A4",dermatology,rosacea,Launched
metyrapone,cytochrome P450 inhibitor,CYP11B1,nephrology,adrenal diagnostic agent,Launched
mevastatin,HMGCR inhibitor,HMGCR,,,Preclinical
mexeneone,,,,,Preclinical
mexiletine,sodium channel blocker,"AHR, SCN4A, SCN5A",cardiology,"ventricular arrhythmias, ventricular tachycardia (VT)",Launched
mibampator,glutamate receptor modulator,GRIA1,,,Phase 2
mibefradil,T-type calcium channel blocker,"ANO1, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4",,,Withdrawn
midodrine,adrenergic receptor agonist,"ADRA1A, ADRA1B, ADRA1D",cardiology,hypotension,Launched
midostaurin,"FLT3 inhibitor, KIT inhibitor, PKC inhibitor","FLT3, PRKCG",hematologic malignancy,acute myeloid leukemia (AML),Launched
mifepristone,"glucocorticoid receptor antagonist, progesterone receptor antagonist","AR, NR1I2, NR3C1, PGR",endocrinology,"hyperglycemia, diabetes mellitus",Launched
minocycline,bacterial 30S ribosomal subunit inhibitor,"ALOX5, CASP1, CASP3, CYCS, IL1B, MMP9, VEGFA","endocrinology, infectious disease, ophthalmology, urology","fever, respiratory tract infections, psittacosis, trachoma, conjunctivitis, urethritis, chancroid, tularemia, cholera, brucellosis",Launched
mitomycin-c,"DNA alkylating agent, DNA synthesis inhibitor",,oncology,"pancreatic cancer, gastric adenocarcinoma",Launched
mitoxantrone,topoisomerase inhibitor,TOP2A,"neurology/psychiatry, oncology, hematologic malignancy","multiple sclerosis, prostate cancer, acute myeloid leukemia (AML)",Launched
mocetinostat,HDAC inhibitor,"HDAC1, HDAC11, HDAC2, HDAC3",,,Phase 2
monensin,bacterial permeability inducer,,,,Launched
monobenzone,melanin inhibitor,TYR,dermatology,skin depigmentation,Launched
morin,cytochrome P450 inhibitor,"ADORA2A, ESR2, FASN, MCL1, SLC22A12",,,Preclinical
motesanib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","FLT1, FLT4, KDR, KIT",,,Phase 3
mozavaptan,vasopressin receptor antagonist,"AVPR1A, AVPR1B, AVPR2",endocrinology,hyponatremia,Launched
mubritinib,protein tyrosine kinase inhibitor,"EGFR, ERBB2",,,Phase 1
mycophenolate-mofetil,"dehydrogenase inhibitor, inositol monophosphatase inhibitor","IMPDH1, IMPDH2",transplant,organ rejection,Launched
mycophenolic-acid,"dehydrogenase inhibitor, inositol monophosphatase inhibitor","IMPDH1, IMPDH2",transplant,organ rejection,Launched
nadide,electron acceptor,"AHCY, AKR1A1, ALDH2, BLVRA, DHPS, DLD, GALE, HMGCR, HSD17B1, HSD17B4, IMPDH2, MGAM, P2RY11, SORD, TRPM2",,,Launched
nadifloxacin,bacterial DNA gyrase inhibitor,,"dermatology, infectious disease","acne vulgaris (AV), skin infections",Launched
nafcillin,bacterial cell wall synthesis inhibitor,"CYP1A2, CYP3A4, SLC22A6",infectious disease,gram-positive bacterial infections,Launched
naftidrofuryl,adrenergic receptor antagonist,,cardiology,claudication,Launched
naftifine,fungal squalene epoxidase inhibitor,SQLE,infectious disease,"tinea pedis, tinea cruris, tinea corporis",Launched
naloxone,opioid receptor antagonist,"CREB1, ESR1, OPRD1, OPRK1, OPRM1, TLR4",pulmonary,respiratory depression,Launched
naltrexone,opioid receptor antagonist,"OPRD1, OPRK1, OPRM1, SIGMAR1",neurology/psychiatry,abstinence from alcohol,Launched
nanchangmycin,other antibiotic,,,,Preclinical
napabucasin,STAT inhibitor,STAT3,,,Phase 3
naproxen,cyclooxygenase inhibitor,"PTGS1, PTGS2","neurology/psychiatry, rheumatology, dental, otolaryngology, endocrinology","pain relief, rheumatoid arthritis, headache, toothache, backache, muscle pain, common cold, fever",Launched
narasin,antiprotozoal agent,,infectious disease,coccidiosis,Launched
narlaprevir,HCV inhibitor,,,,Phase 2/Phase 3
navarixin,CC chemokine receptor antagonist,"CXCR1, CXCR2",,,Phase 2
navitoclax,BCL inhibitor,"BCL2, BCL2L1, BCL2L2",,,Phase 2
nefiracetam,"acetylcholine receptor agonist, benzodiazepine receptor agonist",CHRM1,,,Phase 3
nelarabine,"DNA synthesis inhibitor, T cell inhibitor",POLA1,hematologic malignancy,"acute lymphoblastic leukemia (ALL), acute lymphoblastic leukemia (ALL)",Launched
nemonapride,dopamine receptor antagonist,"DRD2, DRD3, DRD4",neurology/psychiatry,schizophrenia,Launched
nemorubicin,topoisomerase inhibitor,"TOP1, TOP2A",,,Phase 2
neratinib,EGFR inhibitor,"EGFR, ERBB2, KDR",,,Phase 3
nexturastat-a,HDAC inhibitor,"HDAC1, HDAC6",,,Preclinical
niacin,"NAD precursor, vitamin B","DGAT2, HCAR1, HCAR2, HCAR3, NNMT, QPRT",endocrinology,hypertriglyceridemia,Launched
niclosamide,"DNA replication inhibitor, STAT inhibitor",STAT3,infectious disease,tapeworm,Launched
nicorandil,"nitric oxide donor, potassium channel activator",KCNJ11,cardiology,angina pectoris,Launched
nicotine,acetylcholine receptor agonist,"CHAT, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB2, CHRNB3, CHRNB4, CYP19A1, TBXAS1, TRPA1",neurology/psychiatry,smoking cessation,Launched
nilotinib,"Abl kinase inhibitor, Bcr-Abl kinase inhibitor","ABL1, KIT",hematologic malignancy,chronic myeloid leukemia (CML),Launched
nilutamide,androgen receptor antagonist,AR,oncology,prostate cancer,Launched
nimorazole,bacterial DNA inhibitor,,oncology,head and neck squamous cell carcinoma (HNSCC),Launched
nintedanib,"FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB",pulmonary,idiopathic pulmonary fibrosis (IPF),Launched
niraparib,PARP inhibitor,PARP1,oncology,primary peritoneal cancer (PPC),Launched
niridazole,phosphofructokinase inhibitor,,infectious disease,schistosomiasis,Launched
nisoxetine,norepinephrine reuptake inhibitor,"SLC6A2, SLC6A3, SLC6A4",,,Phase 1
nitarsone,,,dermatology,blackhead disease,Launched
nithiamide,bacterial DNA inhibitor,,,,Preclinical
nitisinone,hydroxyphenylpyruvate dioxygenase inhibitor,HPD,metabolism,tyrosinemia,Launched
nitrocaramiphen,cholinergic receptor antagonist,CHRM1,,,Preclinical
nizatidine,histamine receptor antagonist,HRH2,gastroenterology,"duodenal ulcer disease, erosive esophagitis (EE), ulcerative esophagitis (UE), gastroesophageal reflux disease (GERD)",Launched
nizofenone,ion channel antagonist,,neurology/psychiatry,stroke,Launched
nobiletin,MEK inhibitor,MAP2K1,,,Preclinical
nocodazole,tubulin polymerization inhibitor,HPGDS,,,Preclinical
nomegestrol-acetate,progesterone receptor agonist,PGR,endocrinology,contraceptive,Launched
nonoxynol-9,membrane integrity inhibitor,,endocrinology,contraceptive,Launched
norepinephrine,adrenergic receptor agonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, PAH, SLC18A1, SLC18A2","cardiology, allergy, neurology/psychiatry","hypertension, urticaria, headache, seasonal affective disorder",Launched
norethindrone,progesterone receptor agonist,PGR,obstetrics/gynecology,endometriosis,Launched
norethindrone-acetate,progesterone receptor agonist,,"endocrinology, orthopedics, obstetrics/gynecology","menopause, osteoporosis, vaginal atrophy",Launched
noretynodrel,progestogen hormone,PGR,endocrinology,contraceptive,Launched
norfloxacin,bacterial DNA gyrase inhibitor,TOP2A,"infectious disease, urology","urinary tract infections, gonorrhea, prostatitis",Launched
norgestrel,progesterone receptor agonist,PGR,endocrinology,contraceptive,Launched
novobiocin,bacterial DNA gyrase inhibitor,,obstetrics/gynecology,mastitis,Launched
nutlin-3,MDM inhibitor,"MDM2, TP53",,,Preclinical
obatoclax,BCL inhibitor,BCL2,,,Phase 3
obidoxime,cholinesterase reactivator,ACHE,"critical care, neurology/psychiatry","poison antidote, nerve gas poisoning",Launched
octenidine,membrane integrity inhibitor,,,,Launched
octopamine,trace amine associated receptor agonist,"F10, TAAR1",,,Preclinical
odanacatib,cathepsin inhibitor,CTSK,,,Phase 3
olaparib,PARP inhibitor,"PARP1, PARP2",oncology,ovarian cancer,Launched
oleanolic-acid,G protein-coupled receptor agonist,GPBAR1,,,Preclinical
oleoylethanolamide,"cannabinoid receptor agonist, glucose dependent insulinotropic receptor agonist, potassium channel blocker, PPAR receptor agonist","CNR1, GPR119, GPR55, PPARA",,,Preclinical
oligomycin-a,"ATP synthase inhibitor, ATPase inhibitor",ATP5A1,,,Preclinical
oltipraz,"nuclear factor erythroid derived, like (NRF2) activator",ANG,,,Phase 3
omeprazole,ATPase inhibitor,"ATP4A, CLCN2",gastroenterology,heartburn,Launched
oncrasin-1,apoptosis stimulant,,,,Preclinical
oprozomib,proteasome inhibitor,,,,Phase 1/Phase 2
orantinib,"FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","AURKA, AURKB, EGFR, FGFR1, FGFR2, KDR, PDGFRA, PDGFRB",,,Phase 3
oridonin,BCL inhibitor,BCL2,,,Preclinical
ornithine,NFkB pathway modulator,"ARG1, ARG2, GATM, GPRC6A, OAT, OAZ1, OAZ2, OAZ3, OTC, SLC25A15, SLC25A2, SLC7A1, SLC7A2, SLC7A3, SLC7A4",,,Launched
orotic-acid,,DHODH,,,Phase 2
oseltamivir-phosphate,neuraminidase inhibitor,"CES1, NEU1, NEU2",infectious disease,influenza A virus infection,Launched
osimertinib,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),Launched
ouabain,ATPase inhibitor,ATP1A1,cardiology,"hypertension, cardiac arrythmia",Launched
oxaliplatin,DNA inhibitor,,oncology,colorectal cancer,Launched
oxazepam,GABA benzodiazepine site receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3",neurology/psychiatry,anxiety,Launched
oxcarbazepine,sodium channel blocker,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",neurology/psychiatry,seizures,Launched
oxibendazole,tubulin polymerization inhibitor,"TUBB, TUBB4B",infectious disease,strongyles,Launched
oxiperomide,dopamine receptor antagonist,,,,Phase 2
oxiracetam,acetylcholine receptor agonist,,,,Launched
oxonic-acid,uricase inhibitor,,,,Preclinical
oxprenolol,adrenergic receptor antagonist,"ADRB1, ADRB2",cardiology,"angina pectoris, hypertension, cardiac arrythmia",Launched
oxymatrine,,,,,Launched
oxymetazoline,adrenergic receptor agonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1B, HTR1D, HTR2C",otolaryngology,nasal congestion,Launched
oxyphencyclimine,cholinergic receptor antagonist,"CHRM1, CHRM2, CHRM3",gastroenterology,peptic ulcer disease (PUD),Launched
oxyquinoline,chelating agent,METAP2,dermatology,cosmetic,Launched
paclitaxel,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TLR4, TUBB, TUBB1",oncology,"ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC)",Launched
